Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;regular1_data.mag.x;regular1_data.mag.y;regular1_data.mag.z;temperature1;temperature2
23_03_21 11:34:24.616;0;I;1008;808;2903;20;;40ef4245dd9708c8542232460d6d04420000ef41;3118.953125;-139871.453125;11400.58203125;33.10649490356445;29.875
23_03_21 11:34:24.717;0;I;1008;808;2903;20;;c0c942450c9808c86e1b32460d6d04420000ef41;3116.609375;-139872.1875;11398.857421875;33.10649490356445;29.875
23_03_21 11:34:24.817;0;I;1008;808;2903;20;;f8b84245299808c8880f32460d6d04420000ef41;3115.560546875;-139872.640625;11395.8828125;33.10649490356445;29.875
23_03_21 11:34:24.920;0;I;1008;808;2903;20;;0ce94245919908c80e1b32460d6d04420000ef41;3118.5654296875;-139878.265625;11398.763671875;33.10649490356445;29.875
23_03_21 11:34:25.021;0;I;1008;808;2903;20;;5de84345eea008c84e6832460d6d04420000ef41;3134.522705078125;-139907.71875;11418.076171875;33.10649490356445;29.875
23_03_21 11:34:25.122;0;I;1008;808;2903;20;;28ba454564b408c8e7d532460d6d04420000ef41;3163.634765625;-139985.5625;11445.4755859375;33.10649490356445;29.875
23_03_21 11:34:25.223;0;I;1008;808;2903;20;;11f34745eed008c8e62b3346cc1f03420000ef41;3199.191650390625;-140099.71875;11466.974609375;32.78105163574219;29.875
23_03_21 11:34:25.328;0;I;1008;808;2903;20;;df074a45a8ee08c84b253346cc1f03420000ef41;3232.491943359375;-140218.625;11465.3232421875;32.78105163574219;29.875
23_03_21 11:34:25.426;0;I;1008;808;2903;20;;86234b458c0209c896e73246cc1f03420000ef41;3250.22021484375;-140298.1875;11449.896484375;32.78105163574219;29.875
23_03_21 11:34:25.526;0;I;1008;808;2903;20;;da4c4b45550c09c823a63246cc1f03420000ef41;3252.80322265625;-140337.328125;11433.5341796875;32.78105163574219;29.875
23_03_21 11:34:25.627;0;I;1008;808;2903;20;;a9f24a45c40e09c886863246cc1f03420000ef41;3247.166259765625;-140347.0625;11425.630859375;32.78105163574219;29.875
23_03_21 11:34:25.725;0;I;1008;808;2903;20;;386c4a45800d09c8f27b3246cc1f03420000ef41;3238.763671875;-140342.0;11422.986328125;32.78105163574219;29.875
23_03_21 11:34:25.826;0;I;1008;808;2903;20;;e4944945150a09c80f7b3246cc1f03420000ef41;3225.3056640625;-140328.328125;11422.7646484375;32.78105163574219;29.875
23_03_21 11:34:25.930;0;I;1008;808;2903;20;;fdbe4845290609c862793246cc1f03420000ef41;3211.936767578125;-140312.640625;11422.345703125;32.78105163574219;29.875
23_03_21 11:34:26.032;0;I;1008;808;2903;20;;483c4845ea0209c8475f3246cc1f03420000ef41;3203.767578125;-140299.65625;11415.8193359375;32.78105163574219;29.875
23_03_21 11:34:26.131;0;I;1008;808;2903;20;;b3c847455fff08c84a3a3246cc1f03420000ef41;3196.543701171875;-140285.484375;11406.572265625;32.78105163574219;29.875
23_03_21 11:34:26.234;0;I;1008;808;2903;20;;b36c4745cbfb08c8e01332460d6d04420000ef41;3190.793701171875;-140271.171875;11396.96875;33.10649490356445;29.875
23_03_21 11:34:26.338;0;I;1008;808;2903;20;;671c474525f808c8700632460d6d04420000ef41;3185.775146484375;-140256.578125;11393.609375;33.10649490356445;29.875
23_03_21 11:34:26.443;0;I;1008;808;2903;20;;c2da464553f608c87ae531460d6d04420000ef41;3181.67236328125;-140249.296875;11385.369140625;33.10649490356445;29.875
23_03_21 11:34:26.546;0;I;1008;808;2903;20;;a3b046457ff608c8b9d331460d6d04420000ef41;3179.039794921875;-140249.984375;11380.9306640625;33.10649490356445;29.875
23_03_21 11:34:26.647;0;I;1008;808;2903;20;;9fe34645cef808c8cddc31460d6d04420000ef41;3182.226318359375;-140259.21875;11383.2001953125;33.10649490356445;29.875
23_03_21 11:34:26.751;0;I;1008;808;2903;20;;af73474567fc08c8f70032460d6d04420000ef41;3191.230224609375;-140273.609375;11392.2412109375;33.10649490356445;29.875
23_03_21 11:34:26.850;0;I;1008;808;2903;20;;7d204845f9ff08c8383732460d6d04420000ef41;3202.030517578125;-140287.890625;11405.8046875;33.10649490356445;29.875
23_03_21 11:34:26.951;0;I;1008;808;2903;20;;ecb348455d0309c8a85132460d6d04420000ef41;3211.2451171875;-140301.453125;11412.4140625;33.10649490356445;29.875
23_03_21 11:34:27.052;0;I;1008;808;2903;20;;ce1e4945bd0509c8f05632460d6d04420000ef41;3217.92529296875;-140310.953125;11413.734375;33.10649490356445;29.875
23_03_21 11:34:27.157;0;I;1008;808;2903;20;;ff7d4945540709c8e25232460d6d04420000ef41;3223.874755859375;-140317.3125;11412.720703125;33.10649490356445;29.875
23_03_21 11:34:27.272;0;I;1008;808;2903;20;;d8dc49456c0809c84b563246d05408420000ef41;3229.802734375;-140321.6875;11413.5732421875;34.08282470703125;29.875
23_03_21 11:34:27.371;0;I;1008;808;2903;20;;b2174a45200909c809293246d05408420000ef41;3233.48095703125;-140324.5;11402.2587890625;34.08282470703125;29.875
23_03_21 11:34:27.476;0;I;1008;808;2903;20;;b0414a45cd0909c802033246d05408420000ef41;3236.10546875;-140327.203125;11392.751953125;34.08282470703125;29.875
23_03_21 11:34:27.576;0;I;1008;808;2903;20;;48624a459f0909c89c023246d05408420000ef41;3238.142578125;-140326.484375;11392.65234375;34.08282470703125;29.875
23_03_21 11:34:27.677;0;I;1008;808;2903;20;;13694a45af0909c85d0a3246d05408420000ef41;3238.567138671875;-140326.734375;11394.5908203125;34.08282470703125;29.875
23_03_21 11:34:27.777;0;I;1008;808;2903;20;;1b5d4a45290a09c812fc3146d05408420000ef41;3237.819091796875;-140328.640625;11391.017578125;34.08282470703125;29.875
23_03_21 11:34:27.880;0;I;1008;808;2903;20;;d65a4a45590a09c86af93146d05408420000ef41;3237.67724609375;-140329.390625;11390.353515625;34.08282470703125;29.875
