Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angularRate
23_02_14 11:25:56.027;787;I;1220;808;2100;4;;f3dbd63a;0.0016392454272136092
23_02_14 11:25:56.158;791;I;1220;808;2100;4;;3bf0473b;0.0030508178751915693
23_02_14 11:25:56.300;795;I;1220;808;2100;4;;864d03ba;-0.0005008805310353637
23_02_14 11:25:56.413;799;I;1220;808;2100;4;;66fc3e39;0.0001821383775677532
23_02_14 11:25:56.559;803;I;1220;808;2100;4;;cfd543bd;-0.04781132563948631
23_02_14 11:25:56.687;807;I;1220;808;2100;4;;0ce1debd;-0.10882768034934998
23_02_14 11:25:56.845;811;I;1220;808;2100;4;;c40a7b3d;0.06128956377506256
23_02_14 11:25:56.938;815;I;1220;808;2100;4;;4aecf9bd;-0.12203271687030792
23_02_14 11:25:57.067;819;I;1220;808;2100;4;;15400abe;-0.13501007854938507
23_02_14 11:25:57.196;823;I;1220;808;2100;4;;13ef0d3d;0.034651827067136765
23_02_14 11:25:57.326;827;I;1220;808;2100;4;;b1f800be;-0.1259486824274063
23_02_14 11:25:57.460;831;I;1220;808;2100;4;;3e771f3d;0.03893207758665085
23_02_14 11:25:57.600;835;I;1220;808;2100;4;;a78666bd;-0.05628075823187828
23_02_14 11:25:57.725;839;I;1220;808;2100;4;;f624a1bc;-0.019670944660902023
23_02_14 11:25:57.854;843;I;1220;808;2100;4;;f62421bc;-0.009835472330451012
23_02_14 11:25:58.026;847;I;1220;808;2100;4;;1aaf19bc;-0.009380126371979713
23_02_14 11:25:58.117;851;I;1220;808;2100;4;;04299ebb;-0.004826666787266731
23_02_14 11:25:58.247;855;I;1220;808;2100;4;;5076c3bd;-0.09544050693511963
23_02_14 11:25:58.375;859;I;1220;808;2100;4;;d998c1bd;-0.09452981501817703
23_02_14 11:25:58.503;863;I;1220;808;2100;4;;80bbeebb;-0.0072855353355407715
23_02_14 11:25:58.683;867;I;1220;808;2100;4;;63b374bc;-0.014935347251594067
23_02_14 11:25:58.785;871;I;1220;808;2100;4;;49f4c4bc;-0.024042265489697456
23_02_14 11:25:58.914;875;I;1220;808;2100;4;;ae1030bc;-0.010746164247393608
23_02_14 11:25:59.026;879;I;1220;808;2100;4;;b9cb62bc;-0.013842516578733921
23_02_14 11:25:59.174;883;I;1220;808;2100;4;;c41a91bc;-0.01771295815706253
23_02_14 11:25:59.298;887;I;1220;808;2100;4;;ae0865bc;-0.013979120180010796
23_02_14 11:25:59.412;891;I;1220;808;2100;4;;1ee8cdbb;-0.0062837740406394005
23_02_14 11:25:59.549;895;I;1220;808;2100;4;;d91ca7b9;-0.0003187421534676105
23_02_14 11:25:59.671;899;I;1220;808;2100;4;;abc7e53b;0.007012327667325735
23_02_14 11:25:59.805;903;I;1220;808;2100;4;;296dbebd;-0.09298164397478104
23_02_14 11:25:59.933;907;I;1220;808;2100;4;;0ca3513c;0.01279522106051445
23_02_14 11:26:00.059;911;I;1220;808;2100;4;;dd555b3c;0.013387170620262623
23_02_14 11:26:00.215;915;I;1220;808;2100;4;;78413b3c;0.011429183185100555
23_02_14 11:26:00.333;919;I;1220;808;2100;4;;132d9b3b;0.004735597874969244
23_02_14 11:26:00.475;923;I;1220;808;2100;4;;dd5d263c;0.010154214687645435
23_02_14 11:26:00.578;927;I;1220;808;2100;4;;ab0dbebd;-0.09279950708150864
23_02_14 11:26:00.707;931;I;1220;808;2100;4;;ef7fb6bd;-0.08911120146512985
23_02_14 11:26:00.843;935;I;1220;808;2100;4;;8ebfeb3b;0.007194465957581997
23_02_14 11:26:00.980;939;I;1220;808;2100;4;;c8cf5f3c;0.013660378754138947
23_02_14 11:26:01.112;943;I;1220;808;2100;4;;d6d3dc3b;0.006739119999110699
23_02_14 11:26:01.224;947;I;1220;808;2100;4;;0862d23b;0.006420377641916275
23_02_14 11:26:01.350;951;I;1220;808;2100;4;;1789bbbd;-0.09157007187604904
23_02_14 11:26:01.479;955;I;1220;808;2100;4;;a00cb3ba;-0.0013660378754138947
23_02_14 11:26:01.627;959;I;1220;808;2100;4;;a00cb3bb;-0.005464151501655579
23_02_14 11:26:01.738;963;I;1220;808;2100;4;;4d3d0f3a;0.00054641516180709
23_02_14 11:26:01.868;967;I;1220;808;2100;4;;8a8e023c;0.007968554273247719
