Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:49:44.438;46047;I;1210;808;2106;8;;1bc84c3a84c2603a;0.0007811800460331142;0.000857390696182847
23_02_14 11:49:44.563;46052;I;1210;808;2106;8;;aba193b967f0abba;-0.00028158476925455034;-0.001311791012994945
23_02_14 11:49:44.692;46057;I;1210;808;2106;8;;40c811b9e39e2cba;-0.00013902876526117325;-0.0006584955262951553
23_02_14 11:49:44.825;46062;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:44.952;46067;I;1210;808;2106;8;;1e8bbb39522d91ba;0.0003577106981538236;-0.001107612857595086
23_02_14 11:49:45.105;46072;I;1210;808;2106;8;;4f10023a58ceebb9;0.0004961536615155637;-0.000449764309450984
23_02_14 11:49:45.221;46077;I;1210;808;2106;8;;de02033a1623eeb9;0.0004997680662199855;-0.0004542103852145374
23_02_14 11:49:45.340;46082;I;1210;808;2106;8;;c286273ada555539;0.0006390624912455678;0.0002034524513874203
23_02_14 11:49:45.471;46087;I;1210;808;2106;8;;b675823a66246dba;0.0009953293483704329;-0.0009046256309375167
23_02_14 11:49:45.611;46092;I;1210;808;2106;8;;cad915b9a33c2bba;-0.00014290880062617362;-0.0006532167899422348
23_02_14 11:49:45.812;46097;I;1210;808;2106;8;;8398273a4a765439;0.0006393270450644195;0.0002026196161750704
23_02_14 11:49:45.858;46102;I;1210;808;2106;8;;46f7023a933ceeb9;0.0004995953058823943;-0.00045440028770826757
23_02_14 11:49:45.989;46107;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:46.116;46112;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:46.243;46117;I;1210;808;2106;8;;b438953a7b4283b9;0.0011384696699678898;-0.00025035798898898065
23_02_14 11:49:46.378;46122;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:46.501;46127;I;1210;808;2106;8;;1bc84cba84c260ba;-0.0007811800460331142;-0.000857390696182847
23_02_14 11:49:46.633;46132;I;1210;808;2106;8;;700b12b9569b2cba;-0.00013927905820310116;-0.0006584426155313849
23_02_14 11:49:46.764;46132;I;1210;808;2106;8;;4045283abb9c5039;0.000641901046037674;0.00019894812430720776
23_02_14 11:49:46.886;46132;I;1210;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:49:47.013;46132;I;1210;808;2106;8;;227a273a30f45539;0.0006388743640854955;0.00020404229871928692
23_02_14 11:49:47.141;46132;I;1210;808;2106;8;;46f7023a933ceeb9;0.0004995953058823943;-0.00045440028770826757
23_02_14 11:49:47.270;46132;I;1210;808;2106;8;;aba193b967f0abba;-0.00028158476925455034;-0.001311791012994945
23_02_14 11:49:47.410;46132;I;1210;808;2106;8;;4d531439e2512b3a;0.00014145411842036992;0.0006535333814099431
