Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;angRate
23_02_14 11:26:17.208;1441;I;1210;808;2100;4;;7408873c;0.016483522951602936
23_02_14 11:26:17.319;1445;I;1210;808;2100;4;;fa1f48bd;-0.04885862022638321
23_02_14 11:26:17.455;1449;I;1210;808;2100;4;;fae9853c;0.016346920281648636
23_02_14 11:26:17.568;1453;I;1210;808;2100;4;;ec9b97be;-0.29611146450042725
23_02_14 11:26:17.701;1457;I;1210;808;2100;4;;8abc79bd;-0.06097082048654556
23_02_14 11:26:17.841;1461;I;1210;808;2100;4;;e196dabc;-0.026683272793889046
23_02_14 11:26:17.975;1465;I;1210;808;2100;4;;29ab4bbc;-0.012430944480001926
23_02_14 11:26:18.091;1469;I;1210;808;2100;4;;7ca5a63d;0.08137032389640808
23_02_14 11:26:18.223;1473;I;1210;808;2100;4;;16308dbd;-0.06893937289714813
23_02_14 11:26:18.353;1477;I;1210;808;2100;4;;ce9f81bd;-0.06329308450222015
23_02_14 11:26:18.484;1481;I;1210;808;2100;4;;dd9bb33d;0.08769962936639786
23_02_14 11:26:18.632;1485;I;1210;808;2100;4;;1b23e9bc;-0.02845912240445614
23_02_14 11:26:18.757;1489;I;1210;808;2100;4;;3bf047bd;-0.04881308600306511
23_02_14 11:26:18.882;1493;I;1210;808;2100;4;;748421bd;-0.03943295776844025
23_02_14 11:26:19.016;1497;I;1210;808;2100;4;;aa5316bd;-0.03670088201761246
23_02_14 11:26:19.146;1501;I;1210;808;2100;4;;1e2e26bd;-0.04057132452726364
23_02_14 11:26:19.274;1505;I;1210;808;2100;4;;a71217bd;-0.036883022636175156
23_02_14 11:26:19.405;1509;I;1210;808;2100;4;;8ac4443d;0.04803899675607681
23_02_14 11:26:19.536;1513;I;1210;808;2100;4;;6c0a553e;0.20804756879806519
23_02_14 11:26:19.669;1517;I;1210;808;2100;4;;510dff3d;0.12453711777925491
23_02_14 11:26:19.824;1521;I;1210;808;2100;4;;216fa53d;0.08077836781740189
23_02_14 11:26:19.960;1525;I;1210;808;2100;4;;49fc8fbc;-0.01757635362446308
23_02_14 11:26:20.079;1529;I;1210;808;2100;4;;d64f773d;0.060378871858119965
23_02_14 11:26:20.203;1533;I;1210;808;2100;4;;7cb87c3d;0.06169937551021576
23_02_14 11:26:20.358;1537;I;1210;808;2100;4;;303595bc;-0.01821383833885193
23_02_14 11:26:20.464;1541;I;1210;808;2100;4;;e083843d;0.06470465660095215
23_02_14 11:26:20.595;1545;I;1210;808;2100;4;;9c85dbbd;-0.10718843340873718
23_02_14 11:26:20.724;1549;I;1210;808;2100;4;;784986bc;-0.016392454504966736
23_02_14 11:26:20.901;1553;I;1210;808;2100;4;;01aa91bd;-0.07112503796815872
23_02_14 11:26:21.015;1557;I;1210;808;2100;4;;80bbee3a;0.0018213838338851929
23_02_14 11:26:21.127;1561;I;1210;808;2100;4;;4d1aa33d;0.07964000850915909
23_02_14 11:26:21.249;1565;I;1210;808;2100;4;;7b298cbd;-0.06843849271535873
23_02_14 11:26:21.392;1569;I;1210;808;2100;4;;f3dbd63a;0.0016392454272136092
23_02_14 11:26:21.509;1573;I;1210;808;2100;4;;132d1b3e;0.1515391319990158
23_02_14 11:26:21.652;1577;I;1210;808;2100;4;;4993cb3d;0.09940201789140701
23_02_14 11:26:21.775;1581;I;1210;808;2100;4;;cbfd88bd;-0.06689032167196274
23_02_14 11:26:21.909;1585;I;1210;808;2100;4;;cbda9c3d;0.0765891894698143
23_02_14 11:26:22.053;1589;I;1210;808;2100;4;;01e0d33b;0.006465912330895662
23_02_14 11:26:22.169;1593;I;1210;808;2100;4;;c0179fbd;-0.0776820182800293
23_02_14 11:26:22.328;1597;I;1210;808;2100;4;;29b396bd;-0.07358390837907791
23_02_14 11:26:22.434;1601;I;1210;808;2100;4;;8ebfebbb;-0.007194465957581997
23_02_14 11:26:22.564;1605;I;1210;808;2100;4;;f61cd6bd;-0.1045474261045456
23_02_14 11:26:22.705;1609;I;1210;808;2100;4;;303595bc;-0.01821383833885193
23_02_14 11:26:22.826;1613;I;1210;808;2100;4;;80bb6ebc;-0.014571070671081543
