Date and Time;Stamp;Direction;Source;Destination;Message Id;Length;Status for Tx;Data;Id;Iq
23_02_14 11:51:37.508;50481;I;1220;808;2106;8;;2823e9b950390b3a;-0.0004446741659194231;0.0005310969427227974
23_02_14 11:51:37.638;50487;I;1220;808;2106;8;;152991bac028db39;-0.0011074865469709039;0.00041801296174526215
23_02_14 11:51:37.767;50493;I;1220;808;2106;8;;570267ba4443893a;-0.0008812299347482622;0.0010472317226231098
23_02_14 11:51:37.892;50499;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:51:38.019;50505;I;1220;808;2106;8;;8b932dba0bcde8b8;-0.0006621411885134876;-0.0001110081429942511
23_02_14 11:51:38.147;50511;I;1220;808;2106;8;;8fcbe4b98256073a;-0.00043639211799018085;0.0005162731977179646
23_02_14 11:51:38.275;50517;I;1220;808;2106;8;;86e1e4b9384d073a;-0.00043655576882883906;0.0005161347799003124
23_02_14 11:51:38.402;50523;I;1220;808;2106;8;;328f8fba3367cf39;-0.0010952709708362818;0.00039559006108902395
23_02_14 11:51:38.531;50529;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:51:38.659;50535;I;1220;808;2106;8;;10b76cb9237024ba;-0.00022574909962713718;-0.0006272813188843429
23_02_14 11:51:38.786;50541;I;1220;808;2106;8;;c6ea33ba56f38db8;-0.0006863292073830962;-6.768728781025857e-05
23_02_14 11:51:38.932;50547;I;1220;808;2106;8;;de2db0baabcd44b9;-0.0013441403862088919;-0.00018768633890431374
23_02_14 11:51:39.042;50553;I;1220;808;2106;8;;bebd6bba90fc8c3a;-0.0008992812363430858;0.0010756421834230423
23_02_14 11:51:39.171;50559;I;1220;808;2106;8;;d034f8b9a0ad9eba;-0.00047341594472527504;-0.0012106187641620636
23_02_14 11:51:39.299;50566;I;1220;808;2106;8;;c025f7b9cf8d9fba;-0.0004713963717222214;-0.0012172999558970332
23_02_14 11:51:39.427;50572;I;1220;808;2106;8;;aed26bbad0f38c3a;-0.000899593229405582;0.00107538141310215
23_02_14 11:51:39.555;50578;I;1220;808;2106;8;;f08182b9dbcc18ba;-0.0002489234320819378;-0.000582886568736285
23_02_14 11:51:39.684;50584;I;1220;808;2106;8;;0efa0c3b40008dbb;0.002151134889572859;-0.004303008317947388
23_02_14 11:51:39.813;50590;I;1220;808;2106;8;;d0e16aba7e9d3dba;-0.0008960040286183357;-0.0007233245996758342
23_02_14 11:51:39.944;50596;I;1220;808;2106;8;;ce95aeba16e85bb9;-0.001331979176029563;-0.00020971926278434694
23_02_14 11:51:40.068;50602;I;1220;808;2106;8;;152991bac028db39;-0.0011074865469709039;0.00041801296174526215
23_02_14 11:51:40.195;50608;I;1220;808;2106;8;;97a1aeba568d59b9;-0.0013323304010555148;-0.00020747384405694902
23_02_14 11:51:40.325;50614;I;1220;808;2106;8;;611191ba3623dc39;-0.001106780138798058;0.000419879041146487
23_02_14 11:51:40.454;50620;I;1220;808;2106;8;;ffb12fbaebdcc9b8;-0.000670224369969219;-9.625576058169827e-05
23_02_14 11:51:40.581;50626;I;1220;808;2106;8;;570267ba4443893a;-0.0008812299347482622;0.0010472317226231098
23_02_14 11:51:40.811;50632;I;1220;808;2106;8;;ce95aeba16e85bb9;-0.001331979176029563;-0.00020971926278434694
23_02_14 11:51:40.839;50638;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
23_02_14 11:51:40.974;50644;I;1220;808;2106;8;;fa08adbaf31571b9;-0.0013201527763158083;-0.00022991727746557444
23_02_14 11:51:41.099;50650;I;1220;808;2106;8;;8b932dba0bcde8b8;-0.0006621411885134876;-0.0001110081429942511
23_02_14 11:51:41.227;50656;I;1220;808;2106;8;;0fb167bae87f43ba;-0.0008838334470055997;-0.0007457719184458256
23_02_14 11:51:41.353;50662;I;1220;808;2106;8;;4a732cba8a41fbb8;-0.0006578458705917001;-0.00011980820272583514
23_02_14 11:51:41.481;50668;I;1220;808;2106;8;;328f8fba3367cf39;-0.0010952709708362818;0.00039559006108902395
23_02_14 11:51:41.696;50674;I;1220;808;2106;8;;0fb167bae87f43ba;-0.0008838334470055997;-0.0007457719184458256
23_02_14 11:51:41.763;50680;I;1220;808;2106;8;;3656e5b9cb1b073a;-0.0004374251584522426;0.0005153982783667743
23_02_14 11:51:41.865;50686;I;1220;808;2106;8;;804afcb9c0df1c3a;-0.0004812069237232208;0.0005984269082546234
23_02_14 11:51:41.992;50692;I;1220;808;2106;8;;c8502a3b804d0d3a;0.002598809078335762;0.0005390271544456482
23_02_14 11:51:42.127;50698;I;1220;808;2106;8;;b7463a3b54889a3b;0.002842349698767066;0.00471595861017704
23_02_14 11:51:42.250;50704;I;1220;808;2106;8;;cbbb183b581eb1bb;0.0023305292706936598;-0.0054052285850048065
23_02_14 11:51:42.388;50710;I;1220;808;2106;8;;5fe24bbbfb40fb3a;-0.0031110269483178854;0.001916914596222341
23_02_14 11:51:42.506;50716;I;1220;808;2106;8;;6beb1f39ee1739bb;0.00015251121658366174;-0.0028243022970855236
23_02_14 11:51:42.635;50722;I;1220;808;2106;8;;00b9ecba4088c339;-0.0018060505390167236;0.00037294812500476837
23_02_14 11:51:42.763;50728;I;1220;808;2106;8;;db5c533a78c030bb;0.000806284777354449;-0.0026970189064741135
23_02_14 11:51:42.892;50734;I;1220;808;2106;8;;6b0badba9ba570b9;-0.0013202255358919501;-0.0002294987643836066
23_02_14 11:51:43.024;50740;I;1220;808;2106;8;;0000008000000080;-0.0;-0.0
